,agile methodologies,analytical skills,consulting,interpersonal skills,leadership,management,negotiation,organization,presentation skills,sdlc,strategic partnerships,teamwork
0,0.0,4.259218215942383,3.954465389251709,4.204421520233154,4.565242767333984,4.098158359527588,3.8008038997650146,4.343619346618652,4.543480396270752,3.4822933673858643,4.673807621002197,3.9838967323303223
1,4.259218215942383,0.0,3.6497714519500732,2.6016147136688232,3.9181876182556152,3.8831489086151123,3.9276838302612305,3.815898895263672,2.6780338287353516,3.582347869873047,4.134089469909668,3.511253833770752
2,3.954465389251709,3.6497714519500732,0.0,3.6042349338531494,3.460562229156494,3.2188196182250977,3.0300865173339844,3.1597630977630615,3.6460676193237305,3.335780143737793,4.222095012664795,2.9362261295318604
3,4.204421520233154,2.6016147136688232,3.6042349338531494,0.0,4.048640727996826,3.920423746109009,3.6758759021759033,3.6758744716644287,2.4354686737060547,3.3076171875,4.279181480407715,3.740431785583496
4,4.565242767333984,3.9181876182556152,3.460562229156494,4.048640727996826,0.0,3.3882179260253906,3.5416173934936523,3.0075650215148926,3.878145694732666,3.68544864654541,4.014487266540527,3.330021381378174
5,4.098158359527588,3.8831489086151123,3.2188196182250977,3.920423746109009,3.3882179260253906,0.0,2.921515464782715,3.2504031658172607,3.8962817192077637,3.4431991577148438,3.807525873184204,3.5372776985168457
6,3.8008038997650146,3.9276838302612305,3.0300865173339844,3.6758759021759033,3.5416173934936523,2.921515464782715,0.0,2.922194004058838,3.7808165550231934,3.08062744140625,4.110052108764648,2.875053644180298
7,4.343619346618652,3.815898895263672,3.1597630977630615,3.6758744716644287,3.0075650215148926,3.2504031658172607,2.922194004058838,0.0,3.999966621398926,3.700721502304077,3.3900012969970703,3.068366765975952
8,4.543480396270752,2.6780338287353516,3.6460676193237305,2.4354686737060547,3.878145694732666,3.8962817192077637,3.7808165550231934,3.999966621398926,0.0,3.7500882148742676,4.3280134201049805,3.596020221710205
9,3.4822933673858643,3.582347869873047,3.335780143737793,3.3076171875,3.68544864654541,3.4431991577148438,3.08062744140625,3.700721502304077,3.7500882148742676,0.0,4.2709808349609375,3.123898506164551
10,4.673807621002197,4.134089469909668,4.222095012664795,4.279181480407715,4.014487266540527,3.807525873184204,4.110052108764648,3.3900012969970703,4.3280134201049805,4.2709808349609375,0.0,3.874857187271118
11,3.9838967323303223,3.511253833770752,2.9362261295318604,3.740431785583496,3.330021381378174,3.5372776985168457,2.875053644180298,3.068366765975952,3.596020221710205,3.123898506164551,3.874857187271118,0.0
